Город,Регион,Федеральный округ,lat,lng
Называевск,Омская область,Сибирский,"55,567066","71,348718"
Невинномысск,Ставропольский край,Северо-Кавказский,"44,638287","41,936061"
Новозыбков,Брянская область,Центральный,"52,536717","31,933222"
Новокуйбышевск,Самарская область,Приволжский,"53,099469","49,947767"
НовыйОскол,Белгородская область,Центральный,"47,757738","39,93643"
НовыйУренгой,Ямало-Ненецкий АО,Уральский,"47,757738","39,93643"
Нытва,Пермский край,Приволжский,"57,939127","55,328622"
Озёры,Московская область,Центральный,"54,854087","38,559824"
Отрадный,Самарская область,Приволжский,"51,691727","39,21793"
Печоры,Псковская область,Северо-Западный,"57,813934","27,609064"
Полысаево,Кемеровская область,Сибирский,"54,605443","86,280901"
ПолярныеЗори,Мурманская область,Северо-Западный,"54,605443","86,280901"
Полярный,Мурманская область,Северо-Западный,"69,198909","33,451033"
Прохладный,Кабардино-Балкария,Северо-Кавказский,"43,758962","44,010083"
Пыталово,Псковская область,Северо-Западный,"57,063925","27,92396"
Пыть-Ях,Ханты-Мансийский АО — Югра,Уральский,"60,758589","72,836526"
Радужный,Владимирская область,Центральный,"62,134265","77,458439"
Радужный,Ханты-Мансийский АО — Югра,Уральский,"62,134265","77,458439"
Рыбинск,Ярославская область,Центральный,"58,048454","38,858406"
Рыбное,Рязанская область,Центральный,"54,730806","39,505463"
Рыльск,Курская область,Центральный,"51,571431","34,683288"
Светлый,Калининградская область,Северо-Западный,"54,67737","20,135719"
Свободный,Амурская область,Дальневосточный,"51,375889","128,134147"
Сланцы,Ленинградская область,Северо-Западный,"59,11779","28,088136"
Сольвычегодск,Архангельская область,Северо-Западный,"61,330589","46,928089"
Сольцы,Новгородская область,Северо-Западный,"58,120168","30,309355"
СосновыйБор,Ленинградская область,Северо-Западный,"56,120211","93,335434"
Среднеколымск,Якутия,Дальневосточный,"67,458183","153,707009"
СтарыйКрымОспаривается,Крым,Южный,"52,585277","32,760346"
СтарыйОскол,Белгородская область,Центральный,"52,585277","32,760346"
Сызрань,Самарская область,Приволжский,"53,155782","48,474485"
Сыктывкар,Коми,Северо-Западный,"61,668793","50,836399"
Сысерть,Свердловская область,Уральский,"56,502281","60,810025"
Сычёвка,Смоленская область,Центральный,"55,83161","34,277834"
Трёхгорный,Челябинская область,Уральский,"54,817842","58,446423"
Туймазы,Башкортостан,Приволжский,"54,599988","53,695008"
Тында,Амурская область,Дальневосточный,"55,154656","124,729236"
Тырныауз,Кабардино-Балкария,Северо-Кавказский,"43,398084","42,921423"
Удачный,Якутия,Дальневосточный,"66,406995","112,306362"
Учалы,Башкортостан,Приволжский,"54,319176","59,378631"
Хадыженск,Краснодарский край,Южный,"44,422804","39,537326"
Ханты-Мансийск,Ханты-Мансийский АО — Югра,Уральский,"61,00318","69,018902"
Хвалынск,Саратовская область,Приволжский,"52,495501","48,105772"
Чаплыгин,Липецкая область,Центральный,"53,240555","39,96699"
Чебоксары,Чувашия,Приволжский,"56,146277","47,251079"
Чердынь,Пермский край,Приволжский,"60,402836","56,479543"
Чулым,Новосибирская область,Сибирский,"55,091258","80,963288"
Шарыпово,Красноярский край,Сибирский,"55,539064","89,180151"
Шахты,Ростовская область,Южный,"47,709601","40,215797"
Шиханы,Саратовская область,Приволжский,"52,114774","47,202327"
Щигры,Курская область,Центральный,"51,87619","36,912"
Ясный,Оренбургская область,Приволжский,"51,036877","59,874349"
