Город,Регион,Федеральный округ,lat,lng
Томмот,Якутия,Дальневосточный,"58,958666","126,287579"
Удачный,Якутия,Дальневосточный,"66,406995","112,306362"
Якутск,Якутия,Дальневосточный,"62,028103","129,732663"
Агидель,Башкортостан,Приволжский,"55,899835","53,92204"
Баймак,Башкортостан,Приволжский,"52,591257","58,311199"
Белебей,Башкортостан,Приволжский,"54,103441","54,111279"
Белорецк,Башкортостан,Приволжский,"53,967621","58,410023"
Бирск,Башкортостан,Приволжский,"55,417531","55,530707"
Благовещенск,Башкортостан,Приволжский,"50,28702","127,541025"
Давлеканово,Башкортостан,Приволжский,"54,222727","55,03127"
Дюртюли,Башкортостан,Приволжский,"55,48529","54,873463"
Ишимбай,Башкортостан,Приволжский,"53,454621","56,04395"
Кумертау,Башкортостан,Приволжский,"52,756523","55,796976"
Межгорье,Башкортостан,Приволжский,"54,239989","57,961225"
Мелеуз,Башкортостан,Приволжский,"52,958964","55,92831"
Нефтекамск,Башкортостан,Приволжский,"56,088408","54,248236"
Октябрьский,Башкортостан,Приволжский,"54,481448","53,46557"
Салават,Башкортостан,Приволжский,"53,361651","55,924672"
Сибай,Башкортостан,Приволжский,"52,72051","58,666429"
Стерлитамак,Башкортостан,Приволжский,"53,630403","55,930825"
Туймазы,Башкортостан,Приволжский,"54,599988","53,695008"
Уфа,Башкортостан,Приволжский,"54,735147","55,958727"
Учалы,Башкортостан,Приволжский,"54,319176","59,378631"
Янаул,Башкортостан,Приволжский,"56,264957","54,929824"
БелаяХолуница,Кировская область,Приволжский,"57,78567","36,693871"
ВятскиеПоляны,Кировская область,Приволжский,"55,205944","34,298037"
Зуевка,Кировская область,Приволжский,"58,403217","51,133426"
Киров,Кировская область,Приволжский,"58,603581","49,667978"
Кирово-Чепецк,Кировская область,Приволжский,"58,556581","50,043932"
Кирс,Кировская область,Приволжский,"59,339987","52,241516"
Котельнич,Кировская область,Приволжский,"58,303426","48,347508"
Луза,Кировская область,Приволжский,"60,629099","47,261229"
Малмыж,Кировская область,Приволжский,"56,524461","50,678232"
Мураши,Кировская область,Приволжский,"59,3956","48,963851"
Нолинск,Кировская область,Приволжский,"57,559708","49,935712"
Омутнинск,Кировская область,Приволжский,"58,66406","52,177152"
Слободской,Кировская область,Приволжский,"58,731886","50,183674"
Советск,Кировская область,Приволжский,"57,587599","48,959521"
Сосновка,Кировская область,Приволжский,"56,253352","51,283364"
Уржум,Кировская область,Приволжский,"57,109738","50,005717"
Яранск,Кировская область,Приволжский,"57,304228","47,885855"
Волжск,Марий Эл,Приволжский,"55,862267","48,372041"
Звенигово,Марий Эл,Приволжский,"55,972312","48,01532"
Йошкар-Ола,Марий Эл,Приволжский,"56,630842","47,886089"
Козьмодемьянск,Марий Эл,Приволжский,"56,344167","46,568107"
Ардатов,Мордовия,Приволжский,"54,84656","46,241183"
Инсар,Мордовия,Приволжский,"53,866508","44,372248"
Ковылкино,Мордовия,Приволжский,"54,039201","43,919056"
Краснослободск,Мордовия,Приволжский,"54,424901","43,784435"
Рузаевка,Мордовия,Приволжский,"54,058268","44,94911"
Саранск,Мордовия,Приволжский,"54,187433","45,183938"
Темников,Мордовия,Приволжский,"54,630967","43,216089"
Арзамас,Нижегородская область,Приволжский,"55,386666","43,815687"
Балахна,Нижегородская область,Приволжский,"56,504556","43,602005"
Богородск,Нижегородская область,Приволжский,"56,103362","43,516755"
Бор,Нижегородская область,Приволжский,"56,356517","44,064575"
Ветлуга,Нижегородская область,Приволжский,"57,852885","45,776099"
Володарск,Нижегородская область,Приволжский,"56,21695","43,159729"
Ворсма,Нижегородская область,Приволжский,"55,98999","43,271955"
Выкса,Нижегородская область,Приволжский,"55,320683","42,167961"
Горбатов,Нижегородская область,Приволжский,"56,130869","43,062701"
Городец,Нижегородская область,Приволжский,"56,644822","43,472351"
Дзержинск,Нижегородская область,Приволжский,"56,238377","43,461625"
Заволжье,Нижегородская область,Приволжский,"56,640441","43,387164"
Княгинино,Нижегородская область,Приволжский,"55,820566","45,032249"
Кстово,Нижегородская область,Приволжский,"56,15067","44,206751"
Кулебаки,Нижегородская область,Приволжский,"55,429716","42,512483"
Лукоянов,Нижегородская область,Приволжский,"55,032697","44,493349"
Лысково,Нижегородская область,Приволжский,"56,021357","45,040962"
Навашино,Нижегородская область,Приволжский,"55,543888","42,18874"
НижнийНовгород,Нижегородская область,Приволжский,"54,901233","99,026387"
Павлово,Нижегородская область,Приволжский,"55,964629","43,06457"
Первомайск,Нижегородская область,Приволжский,"54,867632","43,801377"
Перевоз,Нижегородская область,Приволжский,"55,596849","44,544931"
Саров,Нижегородская область,Приволжский,"54,922788","43,344844"
Семёнов,Нижегородская область,Приволжский,"56,789012","44,490331"
Сергач,Нижегородская область,Приволжский,"55,520105","45,481361"
Урень,Нижегородская область,Приволжский,"57,463042","45,799527"
Чкаловск,Нижегородская область,Приволжский,"56,766253","43,251105"
Шахунья,Нижегородская область,Приволжский,"57,676379","46,612915"
Абдулино,Оренбургская область,Приволжский,"53,677839","53,647263"
Бугуруслан,Оренбургская область,Приволжский,"53,6523","52,432606"
Бузулук,Оренбургская область,Приволжский,"52,788116","52,262438"
Кувандык,Оренбургская область,Приволжский,"51,478483","57,361168"
Медногорск,Оренбургская область,Приволжский,"51,403794","57,58324"
Новотроицк,Оренбургская область,Приволжский,"51,196417","58,301767"
Оренбург,Оренбургская область,Приволжский,"51,768199","55,096955"
Орск,Оренбургская область,Приволжский,"51,229362","58,475196"
Соль-Илецк,Оренбургская область,Приволжский,"51,16185","54,980336"
Сорочинск,Оренбургская область,Приволжский,"52,429092","53,151016"
Ясный,Оренбургская область,Приволжский,"51,036877","59,874349"
Белинский,Пензенская область,Приволжский,"52,96562","43,408679"
Городище,Пензенская область,Приволжский,"53,272758","45,70267"
Заречный,Пензенская область,Приволжский,"53,19611","45,169071"
Каменка,Пензенская область,Приволжский,"53,185524","44,046896"
Кузнецк,Пензенская область,Приволжский,"53,119335","46,601165"
НижнийЛомов,Пензенская область,Приволжский,"54,901233","99,026387"
Никольск,Пензенская область,Приволжский,"53,71447","46,084356"
Пенза,Пензенская область,Приволжский,"53,195063","45,018316"
Сердобск,Пензенская область,Приволжский,"52,455683","44,202735"
Спасск,Пензенская область,Приволжский,"53,926494","43,187729"
Сурск,Пензенская область,Приволжский,"53,07604","45,6911"
Александровск,Пермский край,Приволжский,"59,162925","57,584669"
Березники,Пермский край,Приволжский,"59,407922","56,804015"
Верещагино,Пермский край,Приволжский,"58,079761","54,658083"
Горнозаводск,Пермский край,Приволжский,"58,374682","58,330917"
Гремячинск,Пермский край,Приволжский,"58,562599","57,852034"
Губаха,Пермский край,Приволжский,"58,837018","57,554575"
Добрянка,Пермский край,Приволжский,"58,468063","56,403986"
Кизел,Пермский край,Приволжский,"59,049425","57,653875"
Красновишерск,Пермский край,Приволжский,"60,412821","57,083301"
Краснокамск,Пермский край,Приволжский,"58,078357","55,736376"
Кудымкар,Пермский край,Приволжский,"59,014548","54,664183"
Кунгур,Пермский край,Приволжский,"57,42881","56,944206"
Лысьва,Пермский край,Приволжский,"58,100413","57,811655"
Нытва,Пермский край,Приволжский,"57,939127","55,328622"
Оса,Пермский край,Приволжский,"57,279672","55,468723"
Оханск,Пермский край,Приволжский,"57,72193","55,388656"
Очёр,Пермский край,Приволжский,"57,886894","54,715602"
Пермь,Пермский край,Приволжский,"58,010374","56,229398"
Соликамск,Пермский край,Приволжский,"59,648333","56,771029"
Усолье,Пермский край,Приволжский,"52,756648","103,638769"
Чайковский,Пермский край,Приволжский,"56,778061","54,147759"
Чердынь,Пермский край,Приволжский,"60,402836","56,479543"
Чернушка,Пермский край,Приволжский,"56,51601","56,076361"
Чусовой,Пермский край,Приволжский,"58,297548","57,819318"
Чёрмоз,Пермский край,Приволжский,"58,784335","56,150796"
Жигулёвск,Самарская область,Приволжский,"53,401714","49,494657"
Кинель,Самарская область,Приволжский,"53,221004","50,634394"
Нефтегорск,Самарская область,Приволжский,"52,797221","51,163799"
Новокуйбышевск,Самарская область,Приволжский,"53,099469","49,947767"
Октябрьск,Самарская область,Приволжский,"53,164038","48,670668"
Отрадный,Самарская область,Приволжский,"51,691727","39,21793"
Похвистнево,Самарская область,Приволжский,"53,653282","52,122346"
Самара,Самарская область,Приволжский,"53,195538","50,101783"
Сызрань,Самарская область,Приволжский,"53,155782","48,474485"
Тольятти,Самарская область,Приволжский,"53,508816","49,419207"
Чапаевск,Самарская область,Приволжский,"52,981709","49,710217"
Аркадак,Саратовская область,Приволжский,"51,938814","43,499849"
Аткарск,Саратовская область,Приволжский,"51,873632","45,000296"
Балаково,Саратовская область,Приволжский,"52,018424","47,819667"
Балашов,Саратовская область,Приволжский,"51,554601","43,146469"
Вольск,Саратовская область,Приволжский,"52,045978","47,38729"
Ершов,Саратовская область,Приволжский,"51,352068","48,283494"
Калининск,Саратовская область,Приволжский,"51,499671","44,48548"
Красноармейск,Саратовская область,Приволжский,"56,120959","38,14094"
КрасныйКут,Саратовская область,Приволжский,"56,010563","92,852572"
Маркс,Саратовская область,Приволжский,"51,713333","46,740009"
Новоузенск,Саратовская область,Приволжский,"50,466326","48,132119"
Петровск,Саратовская область,Приволжский,"52,314023","45,389931"
Пугачёв,Саратовская область,Приволжский,"52,014871","48,795588"
Ртищево,Саратовская область,Приволжский,"52,257455","43,785657"
Саратов,Саратовская область,Приволжский,"51,533103","46,034158"
Хвалынск,Саратовская область,Приволжский,"52,495501","48,105772"
Шиханы,Саратовская область,Приволжский,"52,114774","47,202327"
Энгельс,Саратовская область,Приволжский,"51,485489","46,126783"
Агрыз,Татарстан,Приволжский,"56,526318","52,995266"
Азнакаево,Татарстан,Приволжский,"54,859808","53,074533"
Альметьевск,Татарстан,Приволжский,"54,901383","52,297113"
Арск,Татарстан,Приволжский,"56,091311","49,876989"
Бавлы,Татарстан,Приволжский,"54,406333","53,245896"
Болгар,Татарстан,Приволжский,"57,852118","114,198968"
Бугульма,Татарстан,Приволжский,"54,536413","52,789489"
Буинск,Татарстан,Приволжский,"54,964153","48,290142"
Елабуга,Татарстан,Приволжский,"55,75667","52,05446"
Заинск,Татарстан,Приволжский,"55,298984","52,006391"
Зеленодольск,Татарстан,Приволжский,"55,846906","48,500617"
Иннополис,Татарстан,Приволжский,"55,75208","48,744609"
Казань,Татарстан,Приволжский,"55,796289","49,108795"
Кукмор,Татарстан,Приволжский,"56,186599","50,893981"
Лаишево,Татарстан,Приволжский,"55,402449","49,543328"
Лениногорск,Татарстан,Приволжский,"54,599028","52,442667"
Мамадыш,Татарстан,Приволжский,"55,717771","51,410224"
Менделеевск,Татарстан,Приволжский,"55,895186","52,314397"
Мензелинск,Татарстан,Приволжский,"55,719972","53,101429"
НабережныеЧелны,Татарстан,Приволжский,"57,787134","38,455332"
Нижнекамск,Татарстан,Приволжский,"55,63407","51,809112"
Нурлат,Татарстан,Приволжский,"54,428117","50,804958"
Тетюши,Татарстан,Приволжский,"54,936931","48,830074"
Чистополь,Татарстан,Приволжский,"55,372334","50,643575"
Воткинск,Удмуртия,Приволжский,"57,051806","53,987392"
Глазов,Удмуртия,Приволжский,"58,14081","52,674235"
Ижевск,Удмуртия,Приволжский,"56,852593","53,204843"
Камбарка,Удмуртия,Приволжский,"56,266057","54,193358"
Можга,Удмуртия,Приволжский,"56,442802","52,213839"
Сарапул,Удмуртия,Приволжский,"56,461621","53,803678"
Барыш,Ульяновская область,Приволжский,"53,653468","47,118029"
Димитровград,Ульяновская область,Приволжский,"54,217715","49,621984"
Инза,Ульяновская область,Приволжский,"53,857035","46,351649"
Новоульяновск,Ульяновская область,Приволжский,"54,151718","48,384824"
Сенгилей,Ульяновская область,Приволжский,"53,96207","48,790584"
Ульяновск,Ульяновская область,Приволжский,"54,314192","48,403123"
Алатырь,Чувашия,Приволжский,"54,839816","46,572195"
Канаш,Чувашия,Приволжский,"55,506943","47,491764"
Козловка,Чувашия,Приволжский,"55,840386","48,245127"
МариинскийПосад,Чувашия,Приволжский,"56,206952","87,742263"
Новочебоксарск,Чувашия,Приволжский,"56,109551","47,479125"
Цивильск,Чувашия,Приволжский,"55,86501","47,47298"
Чебоксары,Чувашия,Приволжский,"56,146277","47,251079"
Шумерля,Чувашия,Приволжский,"55,497934","46,417846"
Ядрин,Чувашия,Приволжский,"55,940689","46,202107"
Архангельск,Архангельская область,Северо-Западный,"64,539393","40,516939"
Вельск,Архангельская область,Северо-Западный,"61,065915","42,10331"
Каргополь,Архангельская область,Северо-Западный,"61,505339","38,948166"
Коряжма,Архангельская область,Северо-Западный,"61,315335","47,159855"
Котлас,Архангельская область,Северо-Западный,"61,25297","46,633217"
Мезень,Архангельская область,Северо-Западный,"65,839904","44,25314"
Мирный,Архангельская область,Северо-Западный,"62,541028","113,978692"
Новодвинск,Архангельская область,Северо-Западный,"64,413683","40,820821"
Няндома,Архангельская область,Северо-Западный,"61,669822","40,204388"
Онега,Архангельская область,Северо-Западный,"63,914485","38,086646"
Северодвинск,Архангельская область,Северо-Западный,"64,562501","39,818175"
Сольвычегодск,Архангельская область,Северо-Западный,"61,330589","46,928089"
Шенкурск,Архангельская область,Северо-Западный,"62,10565","42,899612"
Бабаево,Вологодская область,Северо-Западный,"59,389227","35,937759"
Белозерск,Вологодская область,Северо-Западный,"60,030843","37,789016"
ВеликийУстюг,Вологодская область,Северо-Западный,"55,603969","31,197214"
Вологда,Вологодская область,Северо-Западный,"59,220496","39,891523"
Вытегра,Вологодская область,Северо-Западный,"61,006355","36,449511"
Грязовец,Вологодская область,Северо-Западный,"58,875793","40,248423"
Кадников,Вологодская область,Северо-Западный,"59,503767","40,34404"
Кириллов,Вологодская область,Северо-Западный,"59,859059","38,374933"
Красавино,Вологодская область,Северо-Западный,"60,961377","46,481474"
Никольск,Вологодская область,Северо-Западный,"53,71447","46,084356"
Сокол,Вологодская область,Северо-Западный,"59,460968","40,099977"
Тотьма,Вологодская область,Северо-Западный,"59,973487","42,758873"
Устюжна,Вологодская область,Северо-Западный,"58,838391","36,442414"
Харовск,Вологодская область,Северо-Западный,"59,95074","40,20631"
Череповец,Вологодская область,Северо-Западный,"59,122612","37,903461"
Багратионовск,Калининградская область,Северо-Западный,"54,386509","20,639638"
Балтийск,Калининградская область,Северо-Западный,"54,644072","19,892177"
Гвардейск,Калининградская область,Северо-Западный,"54,647708","21,071341"
Гурьевск,Калининградская область,Северо-Западный,"54,285935","85,947635"
Гусев,Калининградская область,Северо-Западный,"54,591841","22,201117"
Зеленоградск,Калининградская область,Северо-Западный,"54,95993","20,475354"
Калининград,Калининградская область,Северо-Западный,"54,70739","20,507307"
Краснознаменск,Калининградская область,Северо-Западный,"55,600506","37,042489"
Ладушкин,Калининградская область,Северо-Западный,"54,569116","20,172954"
Мамоново,Калининградская область,Северо-Западный,"54,463785","19,942267"
Неман,Калининградская область,Северо-Западный,"55,038836","22,028146"
Нестеров,Калининградская область,Северо-Западный,"54,631368","22,571357"
Озёрск,Калининградская область,Северо-Западный,"55,763184","60,707599"
Пионерский,Калининградская область,Северо-Западный,"54,949482","20,224841"
Полесск,Калининградская область,Северо-Западный,"54,862777","21,109879"
Правдинск,Калининградская область,Северо-Западный,"54,44634","21,018817"
Приморск,Калининградская область,Северо-Западный,"60,366014","28,613552"
Светлогорск,Калининградская область,Северо-Западный,"54,944006","20,151512"
Светлый,Калининградская область,Северо-Западный,"54,67737","20,135719"
Славск,Калининградская область,Северо-Западный,"55,043819","21,680067"
Советск,Калининградская область,Северо-Западный,"57,587599","48,959521"
Черняховск,Калининградская область,Северо-Западный,"54,630706","21,819503"
Беломорск,Карелия,Северо-Западный,"64,53032","34,763328"
Кемь,Карелия,Северо-Западный,"64,955532","34,598371"
Кондопога,Карелия,Северо-Западный,"62,20475","34,272758"
Костомукша,Карелия,Северо-Западный,"64,588014","30,598361"
Лахденпохья,Карелия,Северо-Западный,"61,518857","30,199491"
Медвежьегорск,Карелия,Северо-Западный,"62,914998","34,473101"
Олонец,Карелия,Северо-Западный,"60,979719","32,972034"
Петрозаводск,Карелия,Северо-Западный,"61,785017","34,346878"
Питкяранта,Карелия,Северо-Западный,"61,573083","31,471254"
Пудож,Карелия,Северо-Западный,"61,80589","36,533"
Сегежа,Карелия,Северо-Западный,"63,743701","34,312617"
Сортавала,Карелия,Северо-Западный,"61,703306","30,691723"
Суоярви,Карелия,Северо-Западный,"62,087896","32,373738"
Воркута,Коми,Северо-Западный,"67,49741","64,061091"
Вуктыл,Коми,Северо-Западный,"63,844407","57,29984"
Емва,Коми,Северо-Западный,"62,598375","50,886569"
Инта,Коми,Северо-Западный,"66,03682","60,115367"
Микунь,Коми,Северо-Западный,"62,358008","50,071986"
Печора,Коми,Северо-Западный,"65,148602","57,223977"
Сосногорск,Коми,Северо-Западный,"63,59911","53,876441"
Сыктывкар,Коми,Северо-Западный,"61,668793","50,836399"
Усинск,Коми,Северо-Западный,"65,994144","57,55701"
Ухта,Коми,Северо-Западный,"63,562626","53,684022"
Бокситогорск,Ленинградская область,Северо-Западный,"59,473572","33,847675"
Волосово,Ленинградская область,Северо-Западный,"59,447275","29,48481"
Волхов,Ленинградская область,Северо-Западный,"59,916744","32,331544"
Всеволожск,Ленинградская область,Северо-Западный,"60,021317","30,654084"
Выборг,Ленинградская область,Северо-Западный,"60,710232","28,749404"
Высоцк,Ленинградская область,Северо-Западный,"60,625264","28,568016"
Гатчина,Ленинградская область,Северо-Западный,"59,568456","30,124473"
Ивангород,Ленинградская область,Северо-Западный,"59,376655","28,223117"
Каменногорск,Ленинградская область,Северо-Западный,"60,95081","29,130882"
Кингисепп,Ленинградская область,Северо-Западный,"59,374028","28,611297"
Кириши,Ленинградская область,Северо-Западный,"59,449695","32,008707"
Кировск,Ленинградская область,Северо-Западный,"67,612101","33,668165"
Коммунар,Ленинградская область,Северо-Западный,"59,621609","30,393483"
Кудрово,Ленинградская область,Северо-Западный,"59,908489","30,513569"
ЛодейноеПоле,Ленинградская область,Северо-Западный,"56,012269","37,474821"
Луга,Ленинградская область,Северо-Западный,"58,735221","29,847999"
Любань,Ленинградская область,Северо-Западный,"52,798914","27,993481"
Никольское,Ленинградская область,Северо-Западный,"59,704642","30,788966"
НоваяЛадога,Ленинградская область,Северо-Западный,"59,704642","30,788966"
Отрадное,Ленинградская область,Северо-Западный,"51,666104","39,33658"
Пикалёво,Ленинградская область,Северо-Западный,"59,513113","34,177303"
Подпорожье,Ленинградская область,Северо-Западный,"60,912784","34,156813"
Приморск,Ленинградская область,Северо-Западный,"60,366014","28,613552"
Приозерск,Ленинградская область,Северо-Западный,"61,036554","30,119838"
Светогорск,Ленинградская область,Северо-Западный,"61,111193","28,87268"
Сертолово,Ленинградская область,Северо-Западный,"60,141613","30,211879"
Сланцы,Ленинградская область,Северо-Западный,"59,11779","28,088136"
СосновыйБор,Ленинградская область,Северо-Западный,"56,120211","93,335434"
Сясьстрой,Ленинградская область,Северо-Западный,"60,141954","32,556743"
Тихвин,Ленинградская область,Северо-Западный,"59,644209","33,542096"
Тосно,Ленинградская область,Северо-Западный,"59,540664","30,877719"
Шлиссельбург,Ленинградская область,Северо-Западный,"59,934943","31,026597"
Апатиты,Мурманская область,Северо-Западный,"67,568041","33,407115"
Гаджиево,Мурманская область,Северо-Западный,"69,249049","33,315262"
Заозёрск,Мурманская область,Северо-Западный,"69,400373","32,450139"
Заполярный,Мурманская область,Северо-Западный,"69,426103","30,820739"
Кандалакша,Мурманская область,Северо-Западный,"67,151252","32,412823"
Кировск,Мурманская область,Северо-Западный,"67,612101","33,668165"
Ковдор,Мурманская область,Северо-Западный,"67,562914","30,474025"
Кола,Мурманская область,Северо-Западный,"68,878636","33,026247"
Мончегорск,Мурманская область,Северо-Западный,"67,938931","32,937116"
Мурманск,Мурманская область,Северо-Западный,"68,970682","33,074981"
Оленегорск,Мурманская область,Северо-Западный,"68,142161","33,26696"
Островной,Мурманская область,Северо-Западный,"68,05439","39,514105"
ПолярныеЗори,Мурманская область,Северо-Западный,"54,605443","86,280901"
Полярный,Мурманская область,Северо-Западный,"69,198909","33,451033"
Североморск,Мурманская область,Северо-Западный,"69,076153","33,416215"
Снежногорск,Мурманская область,Северо-Западный,"69,192168","33,238303"
Нарьян-Мар,Ненецкий АО,Северо-Западный,"67,63805","53,006926"
Боровичи,Новгородская область,Северо-Западный,"58,388219","33,914025"
Валдай,Новгородская область,Северо-Западный,"57,980199","33,246667"
ВеликийНовгород,Новгородская область,Северо-Западный,"55,603969","31,197214"
МалаяВишера,Новгородская область,Северо-Западный,"55,205024","67,248601"
Окуловка,Новгородская область,Северо-Западный,"58,377145","33,298679"
Пестово,Новгородская область,Северо-Западный,"58,599071","35,798098"
Сольцы,Новгородская область,Северо-Западный,"58,120168","30,309355"
СтараяРусса,Новгородская область,Северо-Западный,"45,044521","41,969083"
Холм,Новгородская область,Северо-Западный,"57,145202","31,178781"
Чудово,Новгородская область,Северо-Западный,"59,12119","31,670285"
ВеликиеЛуки,Псковская область,Северо-Западный,"55,603969","31,197214"
Гдов,Псковская область,Северо-Западный,"58,744393","27,819585"
Дно,Псковская область,Северо-Западный,"57,826914","29,962992"
Невель,Псковская область,Северо-Западный,"56,02022","29,923969"
Новоржев,Псковская область,Северо-Западный,"57,029623","29,332419"
Новосокольники,Псковская область,Северо-Западный,"56,340749","30,152761"
Опочка,Псковская область,Северо-Западный,"56,714151","28,658881"
Остров,Псковская область,Северо-Западный,"57,345188","28,343806"
Печоры,Псковская область,Северо-Западный,"57,813934","27,609064"
Порхов,Псковская область,Северо-Западный,"57,764855","29,553145"
Псков,Псковская область,Северо-Западный,"57,81925","28,332065"
Пустошка,Псковская область,Северо-Западный,"56,337526","29,36678"
Пыталово,Псковская область,Северо-Западный,"57,063925","27,92396"
Себеж,Псковская область,Северо-Западный,"56,277398","28,484814"
Санкт-Петербург,Санкт-Петербург,Северо-Западный,"59,939095","30,315868"
Буйнакск,Дагестан,Северо-Кавказский,"42,821749","47,115927"
ДагестанскиеОгни,Дагестан,Северо-Кавказский,"54,222727","55,03127"
Дербент,Дагестан,Северо-Кавказский,"42,057669","48,288776"
Избербаш,Дагестан,Северо-Кавказский,"42,565141","47,871078"
Каспийск,Дагестан,Северо-Кавказский,"42,890833","47,635674"
Кизилюрт,Дагестан,Северо-Кавказский,"43,204637","46,866878"
Кизляр,Дагестан,Северо-Кавказский,"43,84738","46,711685"
Махачкала,Дагестан,Северо-Кавказский,"42,98306","47,504682"
Хасавюрт,Дагестан,Северо-Кавказский,"43,246265","46,590044"
Южно-Сухокумск,Дагестан,Северо-Кавказский,"44,660166","45,649966"
Карабулак,Ингушетия,Северо-Кавказский,"43,305594","44,909404"
Магас,Ингушетия,Северо-Кавказский,"43,171501","44,81624"
Малгобек,Ингушетия,Северо-Кавказский,"43,509645","44,590188"
Назрань,Ингушетия,Северо-Кавказский,"43,225727","44,764641"
Сунжа,Ингушетия,Северо-Кавказский,"43,320353","45,047682"
Баксан,Кабардино-Балкария,Северо-Кавказский,"43,681939","43,534613"
Майский,Кабардино-Балкария,Северо-Кавказский,"44,605753","40,093069"
Нальчик,Кабардино-Балкария,Северо-Кавказский,"43,485259","43,607072"
Нарткала,Кабардино-Балкария,Северо-Кавказский,"43,556734","43,862022"
Прохладный,Кабардино-Балкария,Северо-Кавказский,"43,758962","44,010083"
Терек,Кабардино-Балкария,Северо-Кавказский,"43,483865","44,140267"
Тырныауз,Кабардино-Балкария,Северо-Кавказский,"43,398084","42,921423"
Чегем,Кабардино-Балкария,Северо-Кавказский,"43,567114","43,586626"
Карачаевск,Карачаево-Черкесия,Северо-Кавказский,"43,773167","41,914313"
